No.Inputs:3	No.States:6	No.Outputs:3
u1	u2	u3	q1	q3	q5	q2	q4	q6	y1	y2	y3				
1	1	1	0	0	0	0	0	0	0	0	0				
1	1	1	0	0	0	0	0	0	0	0	0				
1	1	1	0	0	0	0	0	0	0	0	0				
1	1	1	0	0	0	0	0	0	0	0	0				
1	1	1	0	0	0	0	0	0	0	0	0				
1	1	1	0	0	0	0	0	0	0	0	0				
1	1	1	0	0	0	0	0	0	0	0	0				
1	1	1	0	0	0	0	0	0	0	0	0				
1	1	1	0	0	0	0	0	0	0	0	0				
1	1	1	0	0	0	0	0	0	0	0	0				
1	1	1	0	0	0	0	0	0	0	0	0				
1	1	1	0	0	0	0	0	0	0	0	0				
1	1	1	0	0	0	0	0	0	0	0	0				
1	1	1	0	0	0	0	0	0	0	0	0				
1	1	1	0	0	0	0	0	0	0	0	0				
1	1	1	0	0	0	0	0	0	0	0	0				
1	1	1	0	0	0	0	0	0	0	0	0				
1	1	1	0	0	0	0	0	0	0	0	0				
1	1	1	0	0	0	0	0	0	0	0	0				
1	1	1	0	0	0	0	0	0	0	0	0				
1	1	1	0	0	0	0	0	0	0	0	0				
1	1	1	0	0	0	0	0	0	0	0	0				
1	1	1	0	0	0	0	0	0	0	0	0				
1	1	1	0	0	0	0	0	0	0	0	0				
1	1	1	0	0	0	0	0	0	0	0	0				
1	1	1	0	0	0	0	0	0	0	0	0				
1	1	1	0	0	0	0	0	0	0	0	0				
1	1	1	0	0	0	0	0	0	0	0	0				
1	1	1	0	0	0	0	0	0	0	0	0				
1	1	1	0	0	0	0	0	0	0	0	0				
1	1	1	0	0	0	0	0	0	0	0	0				
1	1	1	0	0	0	0	0	0	0	0	0				
1	1	1	0	0	0	0	0	0	0	0	0				
1	1	1	0	0	0	0	0	0	0	0	0				
1	1	1	0	0	0	0	0	0	0	0	0				
1	1	1	0	0	0	0	0	0	0	0	0				
1	1	1	0	0	0	0	0	0	0	0	0				
1	1	1	0	0	0	0	0	0	0	0	0				
1	1	1	0	0	0	0	0	0	0	0	0				
1	1	1	0	0	0	0	0	0	0	0	0				
1	1	1	0	0	0	0	0	0	0	0	0				
1	1	1	0	0	0	0	0	0	0	0	0				
1	1	1	0	0	0	0	0	0	0	0	0				
1	1	1	0	0	0	0	0	0	0	0	0				
1	1	1	0	0	0	0	0	0	0	0	0				
1	1	1	0	0	0	0	0	0	0	0	0				
1	1	1	0	0	0	0	0	0	0	0	0				
1	1	1	0	0	0	0	0	0	0	0	0				
1	1	1	0	0	0	0	0	0	0	0	0				
1	1	1	0	0	0	0	0	0	0	0	0				
1	1	1	0	0	0	0	0	0	0	0	0				
1	1	1	0	0	0	0	0	0	0	0	0				
1	1	1	0	0	0	0	0	0	0	0	0				
1	1	1	0	0	0	0	0	0	0	0	0				
1	1	1	0	0	0	0	0	0	0	0	0				
1	1	1	0	0	0	0	0	0	0	0	0				
1	1	1	0	0	0	0	0	0	0	0	0				
1	1	1	0	0	0	0	0	0	0	0	0				
1	1	1	0	0	0	0	0	0	0	0	0				
1	1	1	0	0	0	0	0	0	0	0	0				
1	1	1	0	0	0	0	0	0	0	0	0				
1	1	1	0	0	0	0	0	0	0	0	0				
1	1	1	0	0	0	0	0	0	0	0	0				
1	1	1	0	0	0	0	0	0	0	0	0				
1	1	1	0	0	0	0	0	0	0	0	0				
1	1	1	0	0	0	0	0	0	0	0	0				
1	1	1	0	0	0	0	0	0	0	0	0				
1	1	1	0	0	0	0	0	0	0	0	0				
1	1	1	0	0	0	0	0	0	0	0	0				
1	1	1	0	0	0	0	0	0	0	0	0				
1	1	1	0	0	0	0	0	0	0	0	0				
1	1	1	0	0	0	0	0	0	0	0	0				
1	1	1	0	0	0	0	0	0	0	0	0				
1	1	1	0	0	0	0	0	0	0	0	0				
1	1	1	0	0	0	0	0	0	0	0	0				
1	1	1	0	0	0	0	0	0	0	0	0				
1	1	1	0	0	0	0	0	0	0	0	0				
1	1	1	0	0	0	0	0	0	0	0	0				
1	1	1	0	0	0	0	0	0	0	0	0				
1	1	1	0	0	0	0	0	0	0	0	0				
1	1	1	0	0	0	0	0	0	0	0	0				
1	1	1	0	0	0	0	0	0	0	0	0				
1	1	1	0	0	0	0	0	0	0	0	0				
1	1	1	0	0	0	0	0	0	0	0	0				
1	1	1	0	0	0	0	0	0	0	0	0				
1	1	1	0	0	0	0	0	0	0	0	0				
1	1	1	0	0	0	0	0	0	0	0	0				
1	1	1	0	0	0	0	0	0	0	0	0				
1	1	1	0	0	0	0	0	0	0	0	0				
1	1	1	0	0	0	0	0	0	0	0	0				
1	1	1	0	0	0	0	0	0	0	0	0				
1	1	1	0	0	0	0	0	0	0	0	0				
1	1	1	0	0	0	0	0	0	0	0	0				
1	1	1	0	0	0	0	0	0	0	0	0				
1	1	1	0	0	0	0	0	0	0	0	0				
1	1	1	0	0	0	0	0	0	0	0	0				
1	1	1	0	0	0	0	0	0	0	0	0				
1	1	1	0	0	0	0	0	0	0	0	0				
